Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Box Facial Tissues,Good Karma,Origami Good Karma 2 Ply Unbleached Facial Tissue Pack of 15-750 Pulls,GKFTP15P50P2,12,675,2,48182000,18%,8906004868290,B09MLY25VN,FLTGQ54ENCGDV543,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Good Karma,"Origami Good Karma 3 Ply Unbleached Toilet Paper- Pack of 6-1,920 Pulls",GKTRP6P320P3,12,510,6,48181000,18%,8906004868955,B0B35XDPQ5,TPOGQ58ZZTHQFVHX,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Good Karma,"Origami Good Karma 3 Ply Unbleached Toilet Paper- Pack of 6-1,920 Pulls",GKTRP6P320P3,12,510,6,48181000,18%,8906004868955,B0B35XDPQ5,TPOG9XWC2NSHQHSH,,,,,,,,,,,,,,,
Box Facial Tissues,Good Karma,Origami Good Karma 2 Ply Unbleached Facial Tissue Paper - Pack of 4 - 400 Pulls,GKFTP4P100P2,12,400,8,48182000,18%,8906004866906,B08P7KRXK7,FLTGQ54NFVW6VB92,-,-,-,-,590309867,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Good Karma,Origami Good Karma 2 Ply Unbleached Facial Tissue Paper - Pack of 4 - 400 Pulls,GKFTP4P100P2,12,400,8,48182000,18%,8906004866906,B08P7KRXK7,FLTG9YPXFPAGHCHM,,,,,,,,,,,,,,,
Pocket Tissues,Good Karma,Origami Good Karma 3 Ply Unbleached Pocket Tissue - 10 Pulls Per Box - Pack of 20 - 200 Pulls,GKPTP20P10P3,12,300,1,48181000,18%,8906004868283,B09MLZ1BLL,FLTGQ54VVMGZDFE7,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,Origami Good Karma 1 Ply Unbleached Tissue Paper Napkins - Pack of 6 - 600 Pulls,GKNAP6P100P1-1,14,480,4,48182000,18%,8906004868979,B0B3666XK9,NAPGQ67VVASVNQKG,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami So Soft Kitchen Towel Roll - 60 Pieces (Pack of 4),KRP4P60P2,9,375,12,48182000,18%,8906004864254,B01JZEDLM0,KNRGRYAEAENNMJRK,40000665,10001529,13815,104239,590307595,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami So Soft Kitchen Towel Roll - 60 Pieces (Pack of 4),KRP4P60P2,9,375,12,48182000,18%,8906004864254,B01JZEDLM0,KNRFPUHFKYSVVZYB,,,,,,,,,,,,,,,
Kitchen Towel Rolls,Origami,Origami So Soft Kitchen Towel Roll - 60 Pieces (Pack of 4),OKT4IN1,,,,,,,,,,,,,,,,,,,,,,,
